Single-threaded,,,2-threads,,,4-threads,,,,,,,,,,,
,,,,,,,,,Speedup Single - 2 Threads,,,Speedup Single - 4 Threads,,,Speedup 2 - 4 threads,,
4294867343,57.8441,,4294867343,1.1313,,4294867343,2.3917,,,51.13064616,,,24.18534933,,,0.473010829,
4294867344,11.1543,,4294867344,0.9463,,4294867344,1.4537,,,11.78727676,,,7.673041205,,,0.65095962,
4294867345,2.4142,,4294867345,0.695,,4294867345,1.1139,,,3.473669065,,,2.167339977,,,0.623933926,
4294867346,6.4212,,4294867346,1.3791,,4294867346,1.2482,,,4.656080052,,,5.14436789,,,1.104871014,
4294867347,3.5065,,4294867347,0.5375,,4294867347,0.7662,,,6.52372093,,,4.576481336,,,0.701513965,
4294867348,5.7253,,4294867348,0.9543,,4294867348,1.633,,,5.999476056,,,3.506001225,,,0.584384568,
4294867349,5.8729,,4294867349,1.7934,,4294867349,3.0701,,,3.274729564,,,1.912934432,,,0.584150353,
4294867350,6.4925,,4294867350,1.2124,,4294867350,2.4281,,,5.355080831,,,2.673901404,,,0.499320456,
4294867351,9.9898,,4294867351,1.5609,,4294867351,2.764,,,6.400025626,,,3.614254703,,,0.564725036,
4294867352,5.0661,,4294867352,0.84,,4294867352,1.7644,,,6.031071429,,,2.87128769,,,0.476082521,
4294867353,5.5242,,4294867353,1.3065,,4294867353,2.1029,,,4.228243398,,,2.626943744,,,0.621284892,
4294867354,2.9326,,4294867354,0.6103,,4294867354,1.0542,,,4.805177781,,,2.781825081,,,0.578922406,
4294867355,1.5529,,4294867355,1.0795,,4294867355,1.0657,,,1.438536359,,,1.457164305,,,1.012949235,
4294867356,4.0454,,4294867356,0.5846,,4294867356,1.0754,,,6.919945262,,,3.761763065,,,0.543611679,
4294867357,2.2717,,4294867357,1.0293,,4294867357,2.0896,,,2.207033907,,,1.087145865,,,0.492582312,
4294867358,6.517,,4294867358,3.0174,,4294867358,3.2112,,,2.159806456,,,2.029459392,,,0.939648729,
4294867359,1.8317,,4294867359,0.6185,,4294867359,1.0637,,,2.961519806,,,1.722008085,,,0.581460938,
4294867360,4.7648,,4294867360,1.8132,,4294867360,2.9223,,,2.627840282,,,1.630496527,,,0.620470178,
4294867361,1.3293,,4294867361,0.6569,,4294867361,1.0223,,,2.023595677,,,1.300303238,,,0.642570674,
4294867362,5.1591,,4294867362,3.32,,4294867362,2.0093,,,1.553945783,,,2.567610611,,,1.652316727,
4294867363,3.2628,,4294867363,0.9326,,4294867363,1.4691,,,3.498606048,,,2.220951603,,,0.634810428,
4294867364,6.3768,,4294867364,3.3231,,4294867364,2.3993,,,1.918931119,,,2.657775184,,,1.385028967,
4294867365,3.3915,,4294867365,1.1488,,4294867365,1.0418,,,2.952211003,,,3.255423306,,,1.102706854,
4294867366,5.731,,4294867366,1.3059,,4294867366,2.236,,,4.388544299,,,2.563059034,,,0.584033989,
4294867367,5.9916,,4294867367,0.9501,,4294867367,1.8569,,,6.306283549,,,3.226668103,,,0.511659217,
4294867368,56.715,,4294867368,1.0145,,4294867368,1.9658,,,55.9043864,,,28.85084953,,,0.51607488,
4294867369,8.0021,,4294867369,3.799,,4294867369,4.3677,,,2.106370097,,,1.832108432,,,0.869794171,
4294867370,4.4765,,4294867370,1.0441,,4294867370,1.7378,,,4.287424576,,,2.575958108,,,0.600817125,
4294867371,6.8942,,4294867371,0.7934,,4294867371,1.5872,,,8.689437862,,,4.343623992,,,0.499873992,
4294867372,5.6184,,4294867372,1.7599,,4294867372,2.3157,,,3.192454117,,,2.426221013,,,0.759986181,
4294867373,22.7281,,4294867373,1.0369,,4294867373,1.6373,,,21.91927862,,,13.88145117,,,0.633298724,
4294867374,7.7699,,4294867374,1.8278,,4294867374,2.8364,,,4.250957435,,,2.739352701,,,0.644408405,
4294867375,6.0049,,4294867375,0.6456,,4294867375,1.039,,,9.301270136,,,5.779499519,,,0.621366699,
4294867376,2.4617,,4294867376,0.7166,,4294867376,0.8473,,,3.435249791,,,2.905346394,,,0.845745309,
4294867377,7.2774,,4294867377,1.06,,4294867377,2.4842,,,6.865471698,,,2.929474277,,,0.426696723,
4294867378,3.4363,,4294867378,1.4034,,4294867378,1.8256,,,2.448553513,,,1.882285276,,,0.768733567,
4294867379,5.0776,,4294867379,2.7466,,4294867379,2.2837,,,1.848685648,,,2.22340938,,,1.202697377,
4294867380,1.9449,,4294867380,0.5723,,4294867380,0.7726,,,3.398392452,,,2.517344033,,,0.740745535,
4294867381,3.9725,,4294867381,1.3703,,4294867381,2.6229,,,2.899000219,,,1.514544969,,,0.522436997,
4294867382,6.0476,,4294867382,0.8878,,4294867382,1.6815,,,6.811894571,,,3.596550699,,,0.527980969,
4294867383,5.825,,4294867383,1.6088,,4294867383,2.3324,,,3.620711089,,,2.497427542,,,0.689761619,
4294867384,1.0687,,4294867384,0.5925,,4294867384,0.962,,,1.80371308,,,1.110914761,,,0.615904366,
4294867385,3.7481,,4294867385,1.194,,4294867385,2.5013,,,3.139112228,,,1.4984608,,,0.477351777,
4294867386,3.447,,4294867386,1.7247,,4294867386,2.9685,,,1.998608454,,,1.161192521,,,0.581000505,
4294867387,3.6922,,4294867387,1.5532,,4294867387,1.6943,,,2.377156837,,,2.179189046,,,0.91672077,
4294867388,14.4418,,4294867388,1.1712,,4294867388,1.1202,,,12.33077186,,,12.89216211,,,1.045527584,
4294867389,9.316,,4294867389,1.338,,4294867389,1.5813,,,6.962630792,,,5.891355214,,,0.846139253,
