Single Threaded,,,Multi-Threaded,,,
Number,Time to complete (ms),,Number,Time to complete (ms),,
4649,0.5592,,4649,0.5691,,0.982604112
4650,0.6085,,4650,0.4719,,1.289468108
4651,0.5785,,4651,0.5202,,1.11207228
4652,0.5348,,4652,0.5361,,0.997575079
4653,1.1344,,4653,1.0906,,1.040161379
4654,1.1539,,4654,1.3273,,0.869358849
4655,1.0557,,4655,1.1347,,0.930378073
4656,0.557,,4656,0.551,,1.010889292
4657,0.6195,,4657,0.5718,,1.083420776
4658,1.1577,,4658,1.1332,,1.021620191
4659,0.5385,,4659,0.6139,,0.877178694
4660,0.5522,,4660,0.61,,0.905245902
4661,1.0849,,4661,1.0828,,1.001939416
4662,1.3786,,4662,1.2756,,1.080746315
4663,0.557,,4663,0.5575,,0.999103139
4664,1.1251,,4664,1.0803,,1.041469962
4665,0.5605,,4665,0.5434,,1.031468531
4666,0.6407,,4666,0.5795,,1.105608283
4667,1.0599,,4667,1.102,,0.961796733
4668,0.5887,,4668,0.6286,,0.936525612
4669,1.0548,,4669,1.0821,,0.974771278
4670,0.5154,,4670,0.6014,,0.857000333
4671,0.5582,,4671,0.5137,,1.086626436
4672,0.6129,,4672,0.559,,1.096422182
4673,0.5382,,4673,0.5768,,0.933079057
4674,1.6968,,4674,1.6187,,1.048248595
4675,1.167,,4675,1.2855,,0.90781797
4676,1.1522,,4676,0.984,,1.170934959
4677,0.5642,,4677,0.5928,,0.951754386
4678,0.5429,,4678,0.5469,,0.992686049
4679,0.5914,,4679,0.562,,1.052313167
4680,0.5206,,4680,0.5202,,1.000768935
4681,1.7208,,4681,1.6079,,1.070215809
4682,0.5421,,4682,0.575,,0.942782609
4683,2.1401,,4683,2.1359,,1.001966384
4684,0.5699,,4684,0.6183,,0.921720847
4685,0.6332,,4685,0.5884,,1.076138681
4686,1.1263,,4686,1.2032,,0.936087101
4687,1.0348,,4687,1.1481,,0.901315216
4688,0.5287,,4688,0.5263,,1.004560137
4689,0.615,,4689,0.5443,,1.129891604
4690,1.1535,,4690,1.0939,,1.054483956
4691,0.5403,,4691,0.7023,,0.769329346
4692,1.091,,4692,1.0836,,1.006829088
4693,1.0195,,4693,1.0905,,0.934892251
4694,0.5533,,4694,0.9887,,0.559623748
4695,0.5463,,4695,0.6055,,0.902229562
4696,0.5804,,4696,0.5154,,1.126115638
4697,1.2668,,4697,0.9956,,1.272398554
4698,0.5716,,4698,0.5013,,1.140235388
4699,1.2464,,4699,1.2934,,0.963661667
4700,0.853,,4700,0.5806,,1.469169824
4701,0.4815,,4701,0.5691,,0.846072746
4702,0.555,,4702,0.5855,,0.947907771
4703,0.5557,,4703,0.569,,0.976625659
4704,1.0097,,4704,1.0642,,0.948787822
4705,0.5366,,4705,0.5515,,0.972982774
4706,1.0418,,4706,1.1191,,0.930926637
4707,0.5275,,4707,0.5464,,0.965409956
4708,1.0608,,4708,1.0183,,1.041736227
4709,1.0532,,4709,1.0842,,0.971407489
4710,0.5703,,4710,0.4962,,1.149334946
4711,1.1364,,4711,1.0197,,1.114445425
4712,1.0438,,4712,1.1374,,0.917707051
4713,0.5425,,4713,0.5463,,0.993044115
4714,0.6032,,4714,0.5449,,1.106992109
4715,1.1443,,4715,1.2002,,0.953424429
4716,0.5523,,4716,0.5641,,0.979081723
4717,1.1792,,4717,1.0832,,1.088626292
4718,1.1314,,4718,1.1131,,1.016440571
4719,1.7208,,4719,1.7914,,0.960589483
4720,0.5561,,4720,0.5663,,0.981988345
4721,0.6076,,4721,0.5516,,1.101522843
4722,0.5183,,4722,0.5719,,0.906277321
4723,0.5925,,4723,0.5744,,1.031511142
4724,0.6025,,4724,0.5186,,1.16178172
4725,0.5733,,4725,0.5613,,1.021378942
4726,1.149,,4726,1.0606,,1.083349048
4727,1.1262,,4727,1.6636,,0.676965617
4728,0.5662,,4728,0.5022,,1.127439267
4729,0.5234,,4729,0.5583,,0.937488805
4730,0.9854,,4730,1.0263,,0.960148105
4731,1.0533,,4731,1.1527,,0.913767676
4732,1.0915,,4732,1.1288,,0.96695606
4733,0.5638,,4733,0.5552,,1.015489914
4734,0.5935,,4734,0.5677,,1.045446539
4735,0.5109,,4735,0.5728,,0.891934358
4736,0.5988,,4736,0.5351,,1.11904317
4737,0.5401,,4737,0.6006,,0.899267399
4738,1.2661,,4738,1.0302,,1.228984663
4739,0.9684,,4739,1.201,,0.80632806
4740,0.6446,,4740,0.5947,,1.083907853
4741,1.8002,,4741,1.2765,,1.410262436
4742,0.5741,,4742,0.5983,,0.959552064
4743,1.0657,,4743,1.144,,0.931555944
4744,0.6128,,4744,0.5969,,1.026637628
4745,1.1777,,4745,1.0409,,1.131424729
4746,1.0834,,4746,1.0485,,1.033285646
4747,1.0862,,4747,0.9786,,1.109952994
4748,0.6117,,4748,0.6049,,1.011241528
4749,0.5498,,4749,0.5357,,1.026320702
4750,0.5236,,4750,0.5237,,0.999809051
4751,0.5359,,4751,0.6004,,0.892571619
4752,0.5861,,4752,0.5835,,1.00445587
4753,2.2301,,4753,2.1003,,1.061800695
4754,0.5535,,4754,0.5747,,0.963111188
4755,0.5927,,4755,0.5198,,1.140246249
4756,1.0918,,4756,1.0609,,1.029126214
4757,1.0587,,4757,1.1247,,0.941317685
4758,1.1464,,4758,1.05,,1.091809524
4759,0.5721,,4759,0.5543,,1.032112574
4760,1.273,,4760,1.1068,,1.150162631
4761,0.5604,,4761,0.5807,,0.96504219
4762,0.5661,,4762,0.5865,,0.965217391
4763,1.0909,,4763,1.2188,,0.895060715
4764,0.5419,,4764,0.5622,,0.963891853
4765,0.5682,,4765,0.5828,,0.974948524
4766,0.5663,,4766,0.5468,,1.035662034
4767,1.2994,,4767,1.0822,,1.200702273
4768,0.6154,,4768,0.5643,,1.09055467
4769,2.0938,,4769,2.1307,,0.982681748
4770,0.5474,,4770,0.5276,,1.037528431
4771,1.1363,,4771,1.0251,,1.108477222
4772,0.5465,,4772,0.6226,,0.877770639
4773,1.6604,,4773,1.6528,,1.004598258
4774,1.0087,,4774,1.054,,0.957020873
4775,0.5607,,4775,0.5874,,0.954545455
4776,0.518,,4776,0.5341,,0.969855832
4777,1.1666,,4777,1.136,,1.02693662
4778,0.5474,,4778,0.5345,,1.024134705
4779,0.5344,,4779,0.547,,0.976965265
4780,0.5334,,4780,0.5609,,0.950971653
4781,1.159,,4781,1.1473,,1.010197856
4782,0.556,,4782,0.6123,,0.908051609
4783,0.5357,,4783,0.5549,,0.965399171
4784,1.1165,,4784,1.1749,,0.950293642
4785,1.1177,,4785,1.2527,,0.892232777
4786,0.5799,,4786,0.576,,1.006770833
4787,0.4821,,4787,0.5931,,0.812847749
4788,1.0403,,4788,1.1507,,0.904058399
4789,0.6183,,4789,0.5587,,1.106676213
4790,0.5973,,4790,0.5902,,1.01202982
4791,0.7665,,4791,0.6411,,1.19560131
4792,0.5427,,4792,0.6419,,0.845458794
4793,0.6094,,4793,0.5634,,1.081647142
4794,1.1636,,4794,1.092,,1.065567766
4795,1.1853,,4795,1.2997,,0.911979688
4796,1.0993,,4796,1.1273,,0.975161891
4797,1.3424,,4797,1.2673,,1.059259844
4798,0.6444,,4798,0.5723,,1.125982876
4799,0.5797,,4799,0.5488,,1.056304665
4800,0.0115,,4800,0.0117,,0.982905983
4801,0.5729,,4801,0.5775,,0.992034632
4802,1.6266,,4802,1.4385,,1.13076121
4803,0.5225,,4803,0.5247,,0.995807128
4804,0.5268,,4804,0.5466,,0.96377607
4805,1.0857,,4805,1.12,,0.969375
4806,0.5701,,4806,0.5454,,1.045287862
4807,1.5012,,4807,1.69,,0.888284024
4808,0.55,,4808,0.5675,,0.969162996
4809,1.6615,,4809,1.5836,,1.049191715
4810,0.981,,4810,1.2595,,0.778880508
4811,1.0707,,4811,1.0656,,1.004786036
4812,0.5982,,4812,0.6576,,0.909671533
4813,0.5635,,4813,0.5541,,1.016964447
4814,1.2279,,4814,1.0798,,1.137155029
4815,0.6101,,4815,0.592,,1.030574324
4816,1.6193,,4816,1.4335,,1.129612836
4817,0.5639,,4817,0.5568,,1.012751437
4818,1.2186,,4818,1.0295,,1.183681399
4819,1.0709,,4819,1.1079,,0.966603484
4820,0.5639,,4820,0.5563,,1.013661693
4821,0.5671,,4821,0.5675,,0.999295154
4822,0.6197,,4822,0.5515,,1.123662738
4823,1.1403,,4823,1.0672,,1.068497001
4824,0.633,,4824,0.5629,,1.124533665
4825,0.5614,,4825,0.6211,,0.903880213
4826,1.0814,,4826,1.079,,1.002224282
4827,0.541,,4827,0.5552,,0.974423631
4828,1.089,,4828,1.1356,,0.958964424
4829,1.1163,,4829,0.9875,,1.13043038
4830,1.1331,,4830,1.074,,1.055027933
4831,0.5814,,4831,0.5598,,1.038585209
4832,0.5601,,4832,0.6052,,0.92547918
4833,0.5907,,4833,0.5631,,1.049014385
4834,0.5988,,4834,0.5501,,1.088529358
4835,0.5585,,4835,0.5552,,1.005943804
4836,1.1386,,4836,1.1161,,1.020159484
4837,1.028,,4837,1.0226,,1.005280657
4838,1.1015,,4838,1.1635,,0.946712505
4839,0.5965,,4839,0.6135,,0.972290139
4840,0.5561,,4840,0.5759,,0.965619031
4841,1.1251,,4841,0.9749,,1.154067084
4842,0.5504,,4842,0.5728,,0.960893855
4843,1.0335,,4843,1.1026,,0.937329947
4844,1.4881,,4844,1.6242,,0.916204901
4845,1.144,,4845,0.9839,,1.162719789
4846,0.5669,,4846,0.5625,,1.007822222
4847,1.0828,,4847,1.057,,1.024408704
4848,0.6102,,4848,0.5124,,1.190866511
4849,1.6663,,4849,1.663,,1.001984366
4850,0.5476,,4850,0.5792,,0.945441989
4851,1.0793,,4851,1.035,,1.042801932
4852,0.592,,4852,0.5459,,1.084447701
4853,1.2844,,4853,1.2665,,1.014133439
4854,0.5672,,4854,0.6539,,0.867410919
4855,0.5897,,4855,0.5412,,1.089615669
4856,0.5481,,4856,0.6004,,0.912891406
4857,0.5518,,4857,0.5654,,0.975946233
4858,1.4793,,4858,1.7551,,0.842857957
4859,1.3514,,4859,1.0141,,1.332610196
4860,0.0108,,4860,0.0101,,1.069306931
4861,0.5679,,4861,0.5844,,0.971765914
4862,1.6126,,4862,1.7361,,0.928863545
4863,0.5843,,4863,0.6096,,0.958497375
4864,0.5497,,4864,0.5649,,0.973092583
4865,1.6495,,4865,1.0917,,1.510946231
4866,0.5736,,4866,0.5451,,1.052283985
4867,1.2335,,4867,1.1576,,1.06556669
4868,0.5886,,4868,0.581,,1.013080895
4869,0.5931,,4869,0.5655,,1.048806366
4870,0.6086,,4870,0.6051,,1.005784168
4871,0.5671,,4871,0.5756,,0.985232801
4872,1.6505,,4872,1.921,,0.859187923
4873,1.1909,,4873,1.1156,,1.067497311
4874,0.6176,,4874,0.5379,,1.148168805
4875,0.5784,,4875,0.5308,,1.089675961
4876,1.035,,4876,1.2828,,0.806828812
4877,0.5194,,4877,0.5513,,0.942136768
4878,0.5598,,4878,0.6009,,0.931602596
4879,2.1551,,4879,2.1352,,1.00931997
4880,0.58,,4880,0.5991,,0.968118845
4881,0.5684,,4881,0.5571,,1.020283612
4882,0.5553,,4882,0.5179,,1.072214713
4883,1.6873,,4883,1.571,,1.074029281
4884,1.069,,4884,1.4043,,0.761233355
4885,0.5567,,4885,0.6313,,0.881831142
4886,1.1284,,4886,1.0185,,1.10790378
4887,0.6553,,4887,0.5677,,1.154306852
4888,1.6399,,4888,1.9536,,0.839424652
4889,0.5774,,4889,0.559,,1.032915921
4890,0.529,,4890,0.5692,,0.929374561
4891,1.5612,,4891,1.7555,,0.889319282
4892,0.5327,,4892,0.5966,,0.892893061
4893,1.1199,,4893,1.2079,,0.927146287
4894,0.5253,,4894,0.558,,0.941397849
4895,1.1206,,4895,1.125,,0.996088889
4896,0.5575,,4896,0.5947,,0.937447452
4897,1.1689,,4897,1.0405,,1.12340221
4898,1.916,,4898,1.5594,,1.228677697
4899,1.071,,4899,1.1347,,0.943861814
4900,1.3005,,4900,0.9638,,1.349346337
4901,1.7011,,4901,1.5073,,1.128574272
4902,1.1381,,4902,1.0858,,1.04816725
4903,0.5804,,4903,0.5721,,1.014507953
4904,0.5599,,4904,0.5165,,1.084027106
4905,0.5784,,4905,0.5464,,1.058565154
4906,0.9925,,4906,1.0692,,0.928264123
4907,1.2326,,4907,1.1469,,1.074723167
4908,0.5565,,4908,0.5538,,1.004875406
4909,0.5998,,4909,0.5707,,1.050990012
4910,0.5601,,4910,0.5443,,1.029028109
4911,0.5191,,4911,0.6207,,0.836313839
4912,0.5769,,4912,0.5137,,1.123029005
4913,1.1587,,4913,1.0559,,1.097357704
4914,1.1487,,4914,1.1046,,1.039923954
4915,0.5379,,4915,0.4783,,1.124607987
4916,0.5547,,4916,0.6095,,0.910090238
4917,1.1655,,4917,1.0815,,1.077669903
4918,0.5521,,4918,0.5818,,0.94895153
4919,0.5994,,4919,0.5957,,1.00621118
4920,0.6873,,4920,0.5547,,1.239048134
4921,1.0633,,4921,1.1517,,0.9232439
4922,1.2758,,4922,1.0545,,1.209862494
4923,0.565,,4923,0.5239,,1.078450086
4924,0.5211,,4924,0.5467,,0.953173587
4925,0.5181,,4925,0.5866,,0.883225367
4926,0.5556,,4926,0.5847,,0.950230888
4927,1.0644,,4927,1.108,,0.960649819
4928,1.02,,4928,1.1546,,0.88342283
4929,1.6975,,4929,1.6287,,1.042242279
4930,1.0626,,4930,1.0935,,0.971742112
4931,0.5908,,4931,0.5322,,1.110108982
4932,0.5616,,4932,0.6732,,0.834224599
4933,0.5578,,4933,0.5651,,0.987081932
4934,0.5741,,4934,0.601,,0.955241265
4935,1.688,,4935,1.6911,,0.998166874
4936,0.5581,,4936,0.6,,0.930166667
4937,0.5556,,4937,0.5877,,0.945380296
4938,0.5702,,4938,0.7274,,0.78388782
4939,1.0472,,4939,1.0509,,0.996479208
4940,1.0977,,4940,1.1307,,0.97081454
4941,0.558,,4941,0.5809,,0.960578413
4942,1.5551,,4942,1.6665,,0.933153315
4943,0.5893,,4943,0.5129,,1.148956912
4944,0.6087,,4944,0.6047,,1.00661485
4945,1.1831,,4945,1.1262,,1.050523886
4946,0.5583,,4946,0.6034,,0.925256878
4947,1.103,,4947,1.176,,0.93792517
4948,0.5856,,4948,0.5608,,1.044222539
4949,1.6137,,4949,1.6753,,0.963230466
4950,0.5614,,4950,0.6165,,0.910624493
4951,0.52,,4951,0.5595,,0.929401251
4952,0.5658,,4952,0.5864,,0.964870396
4953,2.2992,,4953,2.0784,,1.106235566
4954,0.5632,,4954,0.6279,,0.896958114
4955,0.5384,,4955,0.5178,,1.0397837
4956,1.0422,,4956,1.0323,,1.009590235
4957,0.5845,,4957,0.5646,,1.035246192
4958,1.8275,,4958,1.4867,,1.229232528
4959,1.0491,,4959,1.0639,,0.986088918
4960,0.5877,,4960,0.5582,,1.052848441
4961,1.7522,,4961,1.726,,1.015179606
4962,0.5666,,4962,0.5817,,0.974041602
4963,1.4629,,4963,1.7254,,0.847861365
4964,1.1122,,4964,1.1091,,1.002795059
4965,0.5469,,4965,0.567,,0.964550265
4966,2.1414,,4966,2.3342,,0.917402108
4967,0.5539,,4967,0.572,,0.968356643
4968,0.555,,4968,0.5725,,0.969432314
4969,1.0487,,4969,1.1384,,0.9212052
4970,1.0884,,4970,1.1293,,0.963782874
4971,0.6276,,4971,0.5548,,1.131218457
4972,1.0712,,4972,0.9684,,1.106154482
4973,0.7015,,4973,0.5671,,1.236995239
4974,0.5499,,4974,0.5702,,0.964398457
4975,0.563,,4975,0.5764,,0.976752255
4976,0.5665,,4976,0.5766,,0.982483524
4977,1.7286,,4977,1.6059,,1.076405754
4978,1.0893,,4978,0.9795,,1.112098009
4979,1.1748,,4979,1.2942,,0.907742235
4980,0.5857,,4980,0.6007,,0.975029133
4981,1.039,,4981,1.188,,0.874579125
4982,1.1683,,4982,0.9959,,1.17310975
4983,1.0373,,4983,1.2443,,0.833641405
4984,1.0722,,4984,0.9663,,1.109593294
4985,0.6149,,4985,0.6479,,0.949066214
4986,0.5842,,4986,0.5572,,1.048456569
4987,0.5915,,4987,0.5523,,1.070975919
4988,1.1365,,4988,0.9424,,1.205963497
4989,0.577,,4989,0.552,,1.045289855
4990,0.5396,,4990,0.5313,,1.015622059
4991,1.1558,,4991,1.0989,,1.051779052
4992,0.5803,,4992,0.5567,,1.042392671
4993,0.5303,,4993,0.6197,,0.855736647
4994,1.1286,,4994,1.0746,,1.050251256
4995,0.5674,,4995,0.5744,,0.98781337
4996,0.5491,,4996,0.608,,0.903125
4997,1.2198,,4997,1.0524,,1.159064994
4998,1.2022,,4998,1.0528,,1.141907295
4999,0.5746,,4999,0.5708,,1.006657323
5000,0.0105,,5000,0.0072,,1.458333333
5001,0.5766,,5001,0.5613,,1.027258151
5002,1.1457,,5002,1.1843,,0.967406907
5003,0.5395,,5003,0.5405,,0.998149861
5004,0.5966,,5004,0.5803,,1.02808892
5005,2.1079,,5005,2.1301,,0.989577954
5006,0.5765,,5006,0.6006,,0.95987346
5007,0.6033,,5007,0.5562,,1.084681769
5008,0.5211,,5008,0.5892,,0.884419552
5009,0.5919,,5009,0.5716,,1.035514346
5010,0.5877,,5010,0.5749,,1.022264742
5011,0.5585,,5011,0.5753,,0.970797845
5012,2.1727,,5012,1.9724,,1.101551409
5013,0.5362,,5013,0.5955,,0.900419815
5014,1.1639,,5014,1.1005,,1.057610177
5015,1.1848,,5015,1.2584,,0.941513032
5016,1.0386,,5016,1.0366,,1.001929385
5017,1.2592,,5017,1.0533,,1.19548087
5018,1.0918,,5018,1.0709,,1.019516295
5019,1.0808,,5019,1.0622,,1.017510827
5020,0.5542,,5020,0.5326,,1.040555764
5021,0.5966,,5021,0.5726,,1.041914076
5022,0.5919,,5022,0.5586,,1.059613319
5023,0.5689,,5023,0.5192,,1.095724191
5024,0.5625,,5024,0.5219,,1.077792681
5025,0.5708,,5025,0.5684,,1.004222379
5026,1.1241,,5026,1.1331,,0.992057188
5027,1.0946,,5027,1.0701,,1.022895057
5028,0.5955,,5028,0.5633,,1.057163146
5029,1.0165,,5029,0.9828,,1.034289784
5030,0.5521,,5030,0.5931,,0.930871691
5031,1.5982,,5031,1.8046,,0.885625623
5032,1.2265,,5032,1.1297,,1.085686465
5033,1.2376,,5033,1.0979,,1.127242918
5034,0.5697,,5034,0.5512,,1.033563135
5035,1.0814,,5035,1.0294,,1.050514863
5036,0.5563,,5036,0.5705,,0.975109553
5037,1.0589,,5037,1.0289,,1.029157353
5038,0.9934,,5038,1.0313,,0.963250267
5039,0.5655,,5039,0.5312,,1.064570783
5040,0.5839,,5040,0.6204,,0.941166989
5041,0.6597,,5041,0.5304,,1.243778281
5042,0.5793,,5042,0.5757,,1.006253257
5043,0.5594,,5043,0.5382,,1.039390561
5044,1.2337,,5044,1.1772,,1.047995243
5045,0.5342,,5045,0.5258,,1.015975656
5046,0.5685,,5046,0.532,,1.068609023
5047,1.2556,,5047,1.209,,1.038544251
5048,0.554,,5048,0.5806,,0.954185326
5049,1.0517,,5049,1.0624,,0.989928464
5050,0.6217,,5050,0.6081,,1.022364743
5051,0.5474,,5051,0.6133,,0.892548508
5052,0.5821,,5052,0.5802,,1.003274733
5053,1.2404,,5053,1.1779,,1.053060531
5054,1.6227,,5054,1.7879,,0.907601096
5055,0.6326,,5055,0.5519,,1.146222142
5056,0.5664,,5056,0.6283,,0.901480185
5057,1.6717,,5057,1.5929,,1.049469521
5058,0.8898,,5058,0.6219,,1.430776652
5059,0.5521,,5059,0.5695,,0.969446883
5060,1.211,,5060,1.1472,,1.055613668
5061,1.175,,5061,1.1483,,1.023251763
5062,0.563,,5062,0.5328,,1.056681682
5063,1.5668,,5063,1.7327,,0.904253477
5064,0.5797,,5064,0.6029,,0.961519323
5065,0.509,,5065,0.5257,,0.968232832
5066,1.2673,,5066,1.108,,1.143772563
5067,0.5181,,5067,0.6024,,0.860059761
5068,1.7069,,5068,1.7409,,0.980469872
5069,1.2615,,5069,1.1222,,1.124131171
5070,1.0335,,5070,1.1212,,0.921780235
5071,1.2762,,5071,1.1302,,1.129180676
5072,0.5669,,5072,0.552,,1.026992754
5073,1.1204,,5073,1.1009,,1.01771278
5074,1.0967,,5074,1.0312,,1.063518231
5075,1.6705,,5075,1.5331,,1.089622334
5076,0.5734,,5076,0.5381,,1.065601189
5077,0.5753,,5077,0.5563,,1.034154233
5078,0.5251,,5078,0.5322,,0.986659151
5079,0.5888,,5079,0.5163,,1.140422235
5080,0.5952,,5080,0.5536,,1.075144509
5081,0.5651,,5081,0.5665,,0.997528685
5082,1.6385,,5082,1.8522,,0.884623691
5083,1.5975,,5083,1.5744,,1.014672256
5084,1.204,,5084,1.0814,,1.113371555
5085,0.5329,,5085,0.5375,,0.99144186
5086,0.6323,,5086,0.5522,,1.145056139
5087,0.5673,,5087,0.5615,,1.010329475
5088,0.5697,,5088,0.5947,,0.957961998
5089,1.0413,,5089,1.3007,,0.800568924
5090,0.4805,,5090,0.7178,,0.66940652
5091,0.5822,,5091,0.5807,,1.002583089
5092,1.1832,,5092,1.106,,1.069801085
5093,1.0828,,5093,1.0705,,1.011489958
5094,0.7098,,5094,0.5783,,1.227390628
5095,0.5657,,5095,0.5307,,1.065950631
5096,1.2759,,5096,1.112,,1.147392086
5097,0.5589,,5097,0.5547,,1.00757166
5098,0.6008,,5098,0.574,,1.046689895
5099,0.5986,,5099,0.5341,,1.120763902
5100,0.5466,,5100,0.5845,,0.935158255
5101,0.6122,,5101,0.5526,,1.107853782
5102,0.6355,,5102,0.6054,,1.049719194
5103,0.5715,,5103,0.5228,,1.093152257
5104,1.3383,,5104,1.3353,,1.002246686
5105,0.6466,,5105,0.5475,,1.181004566
5106,1.1913,,5106,1.1353,,1.049326169
5107,0.6097,,5107,0.5658,,1.077589254
5108,0.6017,,5108,0.5873,,1.024518985
5109,2.164,,5109,2.1299,,1.016010141
5110,1.0399,,5110,1.1299,,0.920346933
5111,2.2323,,5111,2.2255,,1.003055493
5112,0.5858,,5112,0.6004,,0.975682878
5113,0.5391,,5113,0.7095,,0.759830867
5114,0.6629,,5114,0.5937,,1.116557184
5115,1.2045,,5115,0.9974,,1.207639864
5116,0.5582,,5116,0.6041,,0.924019202
5117,1.8251,,5117,1.9171,,0.95201085
5118,0.5968,,5118,0.6022,,0.991032879
5119,0.5922,,5119,0.6108,,0.969548134
5120,0.0123,,5120,0.0176,,0.698863636
5121,0.6204,,5121,0.5433,,1.141910547
5122,1.0852,,5122,1.0043,,1.080553619
5123,1.1014,,5123,1.0939,,1.006856203
5124,1.5469,,5124,1.5328,,1.009198852
5125,0.5684,,5125,0.5621,,1.01120797
5126,1.0695,,5126,1.122,,0.953208556
5127,0.5722,,5127,0.5775,,0.990822511
5128,0.6149,,5128,0.6471,,0.95023953
5129,1.0492,,5129,1.0994,,0.95433873
5130,0.4644,,5130,0.5675,,0.818325991
5131,2.0774,,5131,2.1181,,0.980784666
5132,0.5841,,5132,0.5903,,0.989496866
5133,1.1267,,5133,1.3906,,0.810225802
5134,1.5505,,5134,1.144,,1.355332168
5135,1.0698,,5135,1.05,,1.018857143
5136,0.5387,,5136,0.5369,,1.00335258
5137,1.0163,,5137,1.1462,,0.886668993
5138,2.2039,,5138,2.2711,,0.970410814
5139,0.5273,,5139,0.5966,,0.88384177
5140,0.5812,,5140,0.5907,,0.983917386
5141,1.1057,,5141,1.0913,,1.013195272
5142,0.6015,,5142,0.5747,,1.046633026
5143,1.1156,,5143,1.0465,,1.066029623
5144,0.5774,,5144,0.5759,,1.002604619
5145,1.0211,,5145,1.1582,,0.881626662
5146,1.0425,,5146,1.0529,,0.990122519
5147,0.5307,,5147,0.5664,,0.936970339
5148,1.1987,,5148,1.1643,,1.02954565
5149,1.1663,,5149,1.0038,,1.161884838
5150,0.5301,,5150,0.5819,,0.910981268
5151,1.1745,,5151,1.133,,1.03662842
5152,1.0799,,5152,1.1125,,0.970696629
5153,0.5833,,5153,0.6385,,0.913547377
5154,0.6489,,5154,0.5037,,1.288266825
5155,0.5897,,5155,0.5981,,0.985955526
5156,0.5674,,5156,0.5573,,1.018123093
5157,0.5538,,5157,0.5719,,0.96835111
5158,0.522,,5158,0.5495,,0.949954504
5159,1.0615,,5159,1.0276,,1.03298949
5160,0.5424,,5160,0.5815,,0.932760103
5161,1.6979,,5161,1.8435,,0.921019799
5162,1.0732,,5162,1.1977,,0.896050764
5163,0.5417,,5163,0.544,,0.995772059
5164,0.6121,,5164,0.5344,,1.145396707
5165,0.5682,,5165,0.5427,,1.046987286
5166,1.3199,,5166,1.3353,,0.988467011
5167,0.5428,,5167,0.58,,0.935862069
5168,1.0571,,5168,1.3026,,0.811530785
5169,0.5313,,5169,0.5975,,0.889205021
5170,1.3428,,5170,1.11,,1.20972973
5171,0.5279,,5171,0.635,,0.831338583
5172,0.756,,5172,0.4915,,1.538148525
5173,1.6286,,5173,1.5957,,1.020617911
5174,1.7415,,5174,1.5841,,1.099362414
5175,0.5751,,5175,0.5627,,1.022036609
5176,0.5805,,5176,0.5654,,1.026706756
5177,1.0797,,5177,0.9507,,1.135689492
5178,0.5776,,5178,0.5511,,1.048085647
5179,0.5475,,5179,0.6328,,0.865202276
5180,1.2589,,5180,1.1817,,1.06532961
5181,1.035,,5181,1.0884,,0.950937155
5182,0.5787,,5182,0.5533,,1.04590638
5183,0.9497,,5183,1.0626,,0.893751176
5184,0.0124,,5184,0.013,,0.953846154
5185,1.0737,,5185,1.0997,,0.976357188
5186,0.5704,,5186,0.5244,,1.087719298
5187,1.7454,,5187,1.5645,,1.115627996
5188,0.5712,,5188,0.5925,,0.964050633
5189,0.5591,,5189,0.5553,,1.006843148
5190,0.6305,,5190,0.5657,,1.114548347
5191,1.0453,,5191,1.0456,,0.999713083
5192,1.1344,,5192,1.1425,,0.992910284
5193,0.5437,,5193,0.5623,,0.966921572
5194,1.0305,,5194,1.1028,,0.934439608
5195,0.5475,,5195,0.5875,,0.931914894
5196,0.5907,,5196,0.5818,,1.015297353
5197,0.5279,,5197,0.5438,,0.970761309
5198,1.2034,,5198,1.0657,,1.129210847
5199,0.6399,,5199,0.6119,,1.045759111
5200,0.5336,,5200,0.5204,,1.025365104
5201,2.102,,5201,2.1357,,0.98422063
5202,0.5495,,5202,0.5627,,0.976541674
5203,1.8883,,5203,1.543,,1.223784835
5204,0.609,,5204,0.6354,,0.958451369
5205,0.6069,,5205,0.5867,,1.034429862
5206,1.3369,,5206,1.0779,,1.24028203
5207,1.0713,,5207,0.9943,,1.077441416
5208,1.0908,,5208,1.0703,,1.019153508
5209,0.6124,,5209,0.689,,0.888824383
5210,0.6044,,5210,0.7555,,0.8
5211,0.829,,5211,0.598,,1.386287625
5212,0.6372,,5212,0.5627,,1.13239737
5213,1.7001,,5213,1.5547,,1.093522866
5214,1.0555,,5214,1.0824,,0.97514782
5215,1.6317,,5215,1.5727,,1.037515101
5216,0.6168,,5216,0.6478,,0.952145724
5217,1.6466,,5217,1.8165,,0.906468483
5218,0.5515,,5218,0.5909,,0.933322051
5219,1.1327,,5219,1.2281,,0.922319029
5220,0.572,,5220,0.6522,,0.877031585
5221,1.0844,,5221,1.0662,,1.017069968
5222,1.0785,,5222,1.0233,,1.053943125
5223,0.5201,,5223,0.5645,,0.921346324
5224,0.7377,,5224,0.5612,,1.314504633
5225,1.1512,,5225,1.1185,,1.029235583
5226,1.0976,,5226,1.23,,0.892357724
5227,0.5308,,5227,0.5481,,0.968436417
5228,0.6074,,5228,0.5762,,1.054147865
5229,1.0609,,5229,1.229,,0.863222132
5230,0.5517,,5230,0.5542,,0.995488993
5231,0.5156,,5231,0.5484,,0.940189643
5232,0.5683,,5232,0.5535,,1.026738934
5233,0.5485,,5233,0.5332,,1.028694674
5234,0.5322,,5234,0.5378,,0.989587207
