Single Threaded,,,Multi-Threaded,,,
Number,Time to complete (ms),,Number,Time to complete (ms),,
1124,0.6597,,1124,0.5495,,1.200545951
1125,0.0111,,1125,0.0071,,1.563380282
1126,0.5323,,1126,0.5263,,1.011400342
1127,7.7203,,1127,2.1074,,3.663424125
1128,0.6086,,1128,0.53,,1.148301887
1129,0.7588,,1129,0.6025,,1.259419087
1130,0.5533,,1130,0.657,,0.842161339
1131,2.6616,,1131,1.0637,,2.50220927
1132,0.9102,,1132,0.5963,,1.526412879
1133,2.5625,,1133,0.9912,,2.585250202
1134,0.8458,,1134,0.5863,,1.442606174
1135,1.1711,,1135,0.5861,,1.998123187
1136,0.6698,,1136,0.9684,,0.69165634
1137,1.4118,,1137,0.5367,,2.630519843
1138,0.8289,,1138,0.5499,,1.507364975
1139,2.0688,,1139,1.1067,,1.869341285
1140,0.7991,,1140,0.5203,,1.535844705
1141,2.0034,,1141,1.1263,,1.778744562
1142,1.1114,,1142,0.6112,,1.818390052
1143,1.0922,,1143,0.5691,,1.91917062
1144,1.5243,,1144,1.1472,,1.328713389
1145,0.9452,,1145,0.5257,,1.797983641
1146,0.6904,,1146,0.5141,,1.342929391
1147,2.6937,,1147,1.0817,,2.490246834
1148,3.1,,1148,1.2075,,2.567287785
1149,1.369,,1149,0.6029,,2.270691657
1150,0.7015,,1150,0.5446,,1.288101359
1151,0.6367,,1151,1.5376,,0.414086889
1152,0.017,,1152,0.0171,,0.994152047
1153,0.7837,,1153,0.5439,,1.440889869
1154,0.9316,,1154,0.6417,,1.451768739
1155,2.8448,,1155,1.0781,,2.63871626
1156,0.8205,,1156,0.5468,,1.500548647
1157,2.0053,,1157,1.6381,,1.224162139
1158,1.065,,1158,0.5153,,2.066757229
1159,1.8515,,1159,1.0209,,1.813595847
1160,1.0032,,1160,0.5509,,1.821020149
1161,0.7847,,1161,0.5418,,1.448320413
1162,1.8282,,1162,1.2028,,1.519953442
1163,0.7632,,1163,0.5981,,1.276040796
1164,1.4134,,1164,0.5454,,2.591492483
1165,1.6089,,1165,0.6008,,2.677929427
1166,2.0815,,1166,1.0301,,2.020677604
1167,0.8992,,1167,0.5243,,1.715048636
1168,1.6494,,1168,0.5498,,3
1169,2.1799,,1169,1.0922,,1.995879875
1170,2.0814,,1170,0.5882,,3.538592316
1171,0.9904,,1171,0.5237,,1.891159061
1172,1.0095,,1172,0.5192,,1.944337442
1173,4.7253,,1173,0.9588,,4.928347935
1174,0.7734,,1174,0.5747,,1.345745606
1175,0.7949,,1175,0.5661,,1.404168875
1176,1.8359,,1176,1.0801,,1.699750023
1177,2.4717,,1177,1.0426,,2.370707846
1178,1.8411,,1178,1.0086,,1.825401547
1179,2.2918,,1179,0.5062,,4.527459502
1180,2.5898,,1180,0.5581,,4.640387027
1181,2.1935,,1181,0.5467,,4.01225535
1182,0.9447,,1182,0.533,,1.772420263
1183,2.1921,,1183,1.112,,1.97131295
1184,1.2147,,1184,0.5497,,2.209750773
1185,0.7974,,1185,0.5669,,1.406597283
1186,0.8427,,1186,0.5696,,1.47945927
1187,0.9194,,1187,0.4964,,1.852135375
1188,1.043,,1188,0.5699,,1.83014564
1189,2.3238,,1189,1.0696,,2.172587883
1190,2.448,,1190,1.0036,,2.439218812
1191,0.8973,,1191,0.869,,1.032566168
1192,0.9577,,1192,0.5586,,1.714464733
1193,1.7372,,1193,0.6076,,2.859117841
1194,1.7171,,1194,0.5614,,3.058603491
1195,1.897,,1195,0.5635,,3.366459627
1196,1.9083,,1196,1.1245,,1.697020898
1197,2.3833,,1197,1.0378,,2.29649258
1198,4.1893,,1198,0.587,,7.136797274
1199,1.7137,,1199,1.408,,1.217116477
1200,0.0108,,1200,0.0072,,1.5
1201,0.6762,,1201,0.524,,1.290458015
1202,0.6123,,1202,0.6479,,0.945053249
1203,0.6729,,1203,0.5156,,1.305081458
1204,2.6481,,1204,1.7559,,1.508115496
1205,0.9142,,1205,0.5174,,1.76691148
1206,0.72,,1206,0.5768,,1.248266297
1207,1.6993,,1207,0.9698,,1.752216952
1208,0.6956,,1208,0.582,,1.195189003
1209,1.4086,,1209,1.1422,,1.23323411
1210,1.1056,,1210,0.5255,,2.103901047
1211,3.1781,,1211,1.6439,,1.933268447
1212,0.6844,,1212,0.6138,,1.11502118
1213,0.6109,,1213,0.5714,,1.069128456
1214,1.3568,,1214,0.6074,,2.233783339
1215,0.0102,,1215,0.0072,,1.416666667
1216,0.7223,,1216,0.552,,1.308514493
1217,0.6119,,1217,0.5903,,1.036591564
1218,2.2696,,1218,1.6768,,1.353530534
1219,1.3384,,1219,1.0568,,1.266464799
1220,0.5831,,1220,0.5545,,1.051577998
1221,1.3371,,1221,1.1284,,1.184952145
1222,2.0705,,1222,1.6069,,1.288505819
1223,3.9206,,1223,0.607,,6.458978583
1224,2.2564,,1224,0.5327,,4.235779989
1225,1.9124,,1225,1.2757,,1.499098534
1226,0.9919,,1226,0.5451,,1.819666116
